 48
** Atomic data from version 5.2 of the CHIANTI database **
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%theoretical energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
% produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
% P.R.Young - 15-Feb-2004
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%A-values: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
     The following A-values were incorrect in the Berrington et al. (2000)
     paper and have been corrected (K.A. Berrington, 2004, private communication)

i-i'   A(correct)    (in paper)
  0  0   3.51e-01
  0  0   3.43e-01
  0  0   3.26e-01
  0  0   2.96e-01
  0  0   2.48e-01
  0  0   1.94e-01
  0  0   1.47e-01
  0  0   1.13e-01
  0  0   8.90e-02
 0 0 0
  1  2   3.250e-02
  1  3   0.000e+00
  1  4   3.720e-01
  1  5   1.350e-01
  1  6   5.020e-02
  1  7   1.500e-02
  1  8   9.590e-04
  1  9   1.810e-01
  2  3   4.660e-02
  2  4   6.030e-01
  2  5   0.000e+00
  2  6   7.620e-02
  2  7   6.970e-02
  2  8   3.430e-01
  2  9   0.000e+00
  3  4   1.390e-03
  3  5   0.000e+00
  3  6   0.000e+00
  3  7   7.350e-02
  3  8   5.030e-01
  3  9   0.000e+00
  4  5   0.000e+00
  4  6   5.720e-02
  4  7   1.820e-01
  4  8   4.140e-03
  4  9   2.670e+01
  5  6   1.150e-03
  5  7   0.000e+00
  5  8   0.000e+00
  5  9   0.000e+00
  6  7   7.430e-03
  6  8   0.000e+00
  6  9   6.880e+00
  7  8   4.540e-05
  7  9   1.110e+00
  8  9   0.000e+00
  1  5        0.0
  2  7     1051.5
  3  9     2331.5
  4  5    17475.5
  5  1    20040.3
  6  3    20430.1
  7  5    21278.6
  8  9    28927.3
  9  1    67078.3
